model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
dense,adam,1e-05,16,1,0.872093023255814,0.8516483516483516,0.9011627906976745,0.8757062146892656,"[[145, 27], [17, 155]]"
dense,adam,1e-05,16,2,0.8604651162790697,0.8297872340425532,0.9069767441860465,0.8666666666666667,"[[140, 32], [16, 156]]"
dense,adam,1e-05,16,3,0.872093023255814,0.8478260869565217,0.9069767441860465,0.8764044943820225,"[[144, 28], [16, 156]]"
dense,adam,1e-05,16,4,0.872093023255814,0.8478260869565217,0.9069767441860465,0.8764044943820225,"[[144, 28], [16, 156]]"
dense,adam,1e-05,16,5,0.8662790697674418,0.8387096774193549,0.9069767441860465,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,adam,1e-05,32,1,0.8808139534883721,0.8579234972677595,0.9127906976744186,0.8845070422535212,"[[146, 26], [15, 157]]"
dense,adam,1e-05,32,2,0.875,0.8486486486486486,0.9127906976744186,0.8795518207282913,"[[144, 28], [15, 157]]"
dense,adam,1e-05,32,3,0.8662790697674418,0.8387096774193549,0.9069767441860465,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,adam,1e-05,32,4,0.8691860465116279,0.8432432432432433,0.9069767441860465,0.8739495798319328,"[[143, 29], [16, 156]]"
dense,adam,1e-05,32,5,0.8808139534883721,0.8579234972677595,0.9127906976744186,0.8845070422535212,"[[146, 26], [15, 157]]"
dense,adam,1e-05,64,1,0.8633720930232558,0.8306878306878307,0.9127906976744186,0.8698060941828255,"[[140, 32], [15, 157]]"
dense,adam,1e-05,64,2,0.8691860465116279,0.8469945355191257,0.9011627906976745,0.8732394366197183,"[[144, 28], [17, 155]]"
dense,adam,1e-05,64,3,0.8488372093023255,0.8260869565217391,0.8837209302325582,0.8539325842696629,"[[140, 32], [20, 152]]"
dense,adam,1e-05,64,4,0.875,0.8486486486486486,0.9127906976744186,0.8795518207282913,"[[144, 28], [15, 157]]"
dense,adam,1e-05,64,5,0.8691860465116279,0.8469945355191257,0.9011627906976745,0.8732394366197183,"[[144, 28], [17, 155]]"
dense,adam,1e-05,128,1,0.8662790697674418,0.8387096774193549,0.9069767441860465,0.8715083798882681,"[[142, 30], [16, 156]]"
dense,adam,1e-05,128,2,0.8343023255813954,0.7777777777777778,0.936046511627907,0.8496042216358839,"[[126, 46], [11, 161]]"
dense,adam,1e-05,128,3,0.8372093023255814,0.8152173913043478,0.872093023255814,0.8426966292134831,"[[138, 34], [22, 150]]"
dense,adam,1e-05,128,4,0.8604651162790697,0.8195876288659794,0.9244186046511628,0.8688524590163934,"[[137, 35], [13, 159]]"
dense,adam,1e-05,128,5,0.8372093023255814,0.8295454545454546,0.8488372093023255,0.8390804597701149,"[[142, 30], [26, 146]]"
dense,sgd,1e-05,16,1,0.4738372093023256,0.4748603351955307,0.4941860465116279,0.4843304843304843,"[[78, 94], [87, 85]]"
dense,sgd,1e-05,16,2,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
dense,sgd,1e-05,16,3,0.4622093023255814,0.3333333333333333,0.0755813953488372,0.12322274881516587,"[[146, 26], [159, 13]]"
dense,sgd,1e-05,16,4,0.46511627906976744,0.16666666666666666,0.01744186046511628,0.031578947368421054,"[[157, 15], [169, 3]]"
