model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
bilstm,adam,0.01,8,1,0.8633720930232558,0.8342245989304813,0.9069767441860463,0.8690807799442897,"[[141, 31], [16, 156]]"
bilstm,adam,0.01,8,2,0.8575581395348837,0.847457627118644,0.872093023255814,0.8595988538681948,"[[145, 27], [22, 150]]"
bilstm,adam,0.01,8,3,0.8343023255813954,0.8142076502732241,0.8662790697674418,0.8394366197183099,"[[138, 34], [23, 149]]"
bilstm,adam,0.01,8,4,0.8691860465116279,0.8670520231213873,0.872093023255814,0.8695652173913043,"[[149, 23], [22, 150]]"
bilstm,adam,0.01,8,5,0.8575581395348837,0.8186528497409327,0.9186046511627908,0.8657534246575342,"[[137, 35], [14, 158]]"
bilstm,adam,0.01,16,1,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
bilstm,adam,0.01,16,2,0.8604651162790697,0.8195876288659794,0.9244186046511628,0.8688524590163934,"[[137, 35], [13, 159]]"
bilstm,adam,0.01,16,3,0.8401162790697675,0.8128342245989305,0.8837209302325582,0.8467966573816156,"[[137, 35], [20, 152]]"
bilstm,adam,0.01,16,4,0.8546511627906976,0.8210526315789474,0.9069767441860463,0.861878453038674,"[[138, 34], [16, 156]]"
bilstm,adam,0.01,16,5,0.8575581395348837,0.8360655737704918,0.8895348837209303,0.8619718309859155,"[[142, 30], [19, 153]]"
bilstm,adam,0.01,32,1,0.8633720930232558,0.8238341968911918,0.9244186046511628,0.8712328767123287,"[[138, 34], [13, 159]]"
bilstm,adam,0.01,32,2,0.8430232558139535,0.8138297872340425,0.8895348837209303,0.85,"[[137, 35], [19, 153]]"
bilstm,adam,0.01,32,3,0.8488372093023255,0.8191489361702128,0.8953488372093024,0.8555555555555555,"[[138, 34], [18, 154]]"
bilstm,adam,0.01,32,4,0.8575581395348837,0.8360655737704918,0.8895348837209303,0.8619718309859155,"[[142, 30], [19, 153]]"
bilstm,adam,0.01,32,5,0.8517441860465116,0.8167539267015707,0.9069767441860463,0.859504132231405,"[[137, 35], [16, 156]]"
bilstm,adam,0.01,64,1,0.8517441860465116,0.8102564102564103,0.9186046511627908,0.8610354223433242,"[[135, 37], [14, 158]]"
bilstm,adam,0.01,64,2,0.8546511627906976,0.8388888888888889,0.877906976744186,0.8579545454545454,"[[143, 29], [21, 151]]"
bilstm,adam,0.01,64,3,0.8546511627906976,0.8210526315789474,0.9069767441860463,0.861878453038674,"[[138, 34], [16, 156]]"
