model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
cnn,adam,0.01,8,1,0.8546511627906976,0.8144329896907216,0.9186046511627908,0.8633879781420765,"[[136, 36], [14, 158]]"
cnn,adam,0.01,8,2,0.8401162790697675,0.8268156424581006,0.8604651162790697,0.8433048433048433,"[[141, 31], [24, 148]]"
cnn,adam,0.01,8,3,0.8604651162790697,0.8522727272727273,0.872093023255814,0.8620689655172413,"[[146, 26], [22, 150]]"
cnn,adam,0.01,8,4,0.875,0.8449197860962567,0.9186046511627908,0.8802228412256268,"[[143, 29], [14, 158]]"
cnn,adam,0.01,8,5,0.875,0.8307692307692308,0.9418604651162792,0.8828337874659401,"[[139, 33], [10, 162]]"
cnn,adam,0.01,16,1,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
cnn,adam,0.01,16,2,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
cnn,adam,0.01,16,3,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
cnn,adam,0.01,16,4,0.8546511627906976,0.8315217391304348,0.8895348837209303,0.8595505617977528,"[[141, 31], [19, 153]]"
cnn,adam,0.01,16,5,0.872093023255814,0.8636363636363636,0.8837209302325582,0.8735632183908046,"[[148, 24], [20, 152]]"
cnn,adam,0.01,32,1,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
cnn,adam,0.01,32,2,0.8488372093023255,0.8225806451612904,0.8895348837209303,0.8547486033519553,"[[139, 33], [19, 153]]"
cnn,adam,0.01,32,3,0.8430232558139535,0.8172043010752689,0.8837209302325582,0.8491620111731844,"[[138, 34], [20, 152]]"
cnn,adam,0.01,32,4,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
cnn,adam,0.01,32,5,0.8662790697674418,0.8387096774193549,0.9069767441860463,0.8715083798882681,"[[142, 30], [16, 156]]"
cnn,adam,0.01,64,1,0.8691860465116279,0.850828729281768,0.8953488372093024,0.8725212464589235,"[[145, 27], [18, 154]]"
cnn,adam,0.01,64,2,0.872093023255814,0.8440860215053764,0.9127906976744186,0.8770949720670391,"[[143, 29], [15, 157]]"
cnn,adam,0.01,64,3,0.8633720930232558,0.8415300546448088,0.8953488372093024,0.8676056338028169,"[[143, 29], [18, 154]]"
cnn,adam,0.01,64,4,0.8837209302325582,0.8626373626373627,0.9127906976744186,0.8870056497175142,"[[147, 25], [15, 157]]"
cnn,adam,0.01,64,5,0.8575581395348837,0.8397790055248618,0.8837209302325582,0.8611898016997167,"[[143, 29], [20, 152]]"
