model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
gru,adam,0.01,8,1,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
gru,adam,0.01,8,2,0.8226744186046512,0.7817258883248731,0.8953488372093024,0.8346883468834688,"[[129, 43], [18, 154]]"
gru,adam,0.01,8,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
gru,adam,0.01,8,4,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
gru,adam,0.01,8,5,0.7877906976744186,0.7302325581395349,0.9127906976744186,0.8113695090439277,"[[114, 58], [15, 157]]"
gru,adam,0.01,16,1,0.8691860465116279,0.8432432432432433,0.9069767441860463,0.8739495798319328,"[[143, 29], [16, 156]]"
gru,adam,0.01,16,2,0.8604651162790697,0.8333333333333334,0.9011627906976744,0.8659217877094972,"[[141, 31], [17, 155]]"
gru,adam,0.01,16,3,0.8604651162790697,0.8647058823529412,0.8546511627906976,0.8596491228070176,"[[149, 23], [25, 147]]"
gru,adam,0.01,16,4,0.8546511627906976,0.8144329896907216,0.9186046511627908,0.8633879781420765,"[[136, 36], [14, 158]]"
gru,adam,0.01,16,5,0.8662790697674418,0.85,0.8895348837209303,0.8693181818181818,"[[145, 27], [19, 153]]"
gru,adam,0.01,32,1,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
gru,adam,0.01,32,2,0.8633720930232558,0.8571428571428571,0.872093023255814,0.8645533141210374,"[[147, 25], [22, 150]]"
gru,adam,0.01,32,3,0.8691860465116279,0.8432432432432433,0.9069767441860463,0.8739495798319328,"[[143, 29], [16, 156]]"
gru,adam,0.01,32,4,0.8691860465116279,0.8547486033519553,0.8895348837209303,0.8717948717948718,"[[146, 26], [19, 153]]"
gru,adam,0.01,32,5,0.8604651162790697,0.8297872340425532,0.9069767441860463,0.8666666666666667,"[[140, 32], [16, 156]]"
gru,adam,0.01,64,1,0.8633720930232558,0.8378378378378378,0.9011627906976744,0.8683473389355743,"[[142, 30], [17, 155]]"
gru,adam,0.01,64,2,0.8575581395348837,0.847457627118644,0.872093023255814,0.8595988538681948,"[[145, 27], [22, 150]]"
gru,adam,0.01,64,3,0.8808139534883721,0.8579234972677595,0.9127906976744186,0.8845070422535212,"[[146, 26], [15, 157]]"
gru,adam,0.01,64,4,0.8546511627906976,0.8388888888888889,0.877906976744186,0.8579545454545454,"[[143, 29], [21, 151]]"
gru,adam,0.01,64,5,0.872093023255814,0.8516483516483516,0.9011627906976744,0.8757062146892656,"[[145, 27], [17, 155]]"
gru,adam,0.01,128,1,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
gru,adam,0.01,128,2,0.872093023255814,0.8440860215053764,0.9127906976744186,0.8770949720670391,"[[143, 29], [15, 157]]"
gru,adam,0.01,128,3,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
gru,adam,0.01,128,4,0.8459302325581395,0.8181818181818182,0.8895348837209303,0.8523676880222841,"[[138, 34], [19, 153]]"
gru,adam,0.01,128,5,0.8633720930232558,0.8342245989304813,0.9069767441860463,0.8690807799442897,"[[141, 31], [16, 156]]"
gru,adam,0.001,8,1,0.8546511627906976,0.8279569892473119,0.8953488372093024,0.8603351955307262,"[[140, 32], [18, 154]]"
gru,adam,0.001,8,2,0.8488372093023255,0.8157894736842105,0.9011627906976744,0.856353591160221,"[[137, 35], [17, 155]]"
gru,adam,0.001,8,3,0.8662790697674418,0.8315789473684211,0.9186046511627908,0.8729281767955801,"[[140, 32], [14, 158]]"
gru,adam,0.001,8,4,0.8372093023255814,0.79,0.9186046511627908,0.8494623655913979,"[[130, 42], [14, 158]]"
gru,adam,0.001,8,5,0.8517441860465116,0.8167539267015707,0.9069767441860463,0.859504132231405,"[[137, 35], [16, 156]]"
gru,adam,0.001,16,1,0.8343023255813954,0.7918781725888325,0.9069767441860463,0.8455284552845529,"[[131, 41], [16, 156]]"
gru,adam,0.001,16,2,0.8401162790697675,0.806282722513089,0.8953488372093024,0.8484848484848485,"[[135, 37], [18, 154]]"
gru,adam,0.001,16,3,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
gru,adam,0.001,16,4,0.8343023255813954,0.8010471204188482,0.8895348837209303,0.8429752066115702,"[[134, 38], [19, 153]]"
gru,adam,0.001,16,5,0.8517441860465116,0.8134715025906736,0.9127906976744186,0.8602739726027397,"[[136, 36], [15, 157]]"
gru,adam,0.001,32,1,0.8546511627906976,0.8315217391304348,0.8895348837209303,0.8595505617977528,"[[141, 31], [19, 153]]"
gru,adam,0.001,32,2,0.8517441860465116,0.8306010928961749,0.8837209302325582,0.856338028169014,"[[141, 31], [20, 152]]"
gru,adam,0.001,32,3,0.877906976744186,0.8693181818181818,0.8895348837209303,0.8793103448275862,"[[149, 23], [19, 153]]"
gru,adam,0.001,32,4,0.8546511627906976,0.824468085106383,0.9011627906976744,0.8611111111111112,"[[139, 33], [17, 155]]"
gru,adam,0.001,32,5,0.8255813953488372,0.7828282828282829,0.9011627906976744,0.8378378378378378,"[[129, 43], [17, 155]]"
gru,adam,0.001,64,1,0.8662790697674418,0.842391304347826,0.9011627906976744,0.8707865168539326,"[[143, 29], [17, 155]]"
gru,adam,0.001,64,2,0.8343023255813954,0.7948717948717948,0.9011627906976744,0.8446866485013624,"[[132, 40], [17, 155]]"
gru,adam,0.001,64,3,0.8372093023255814,0.8020833333333334,0.8953488372093024,0.8461538461538461,"[[134, 38], [18, 154]]"
gru,adam,0.001,64,4,0.8401162790697675,0.8031088082901554,0.9011627906976744,0.8493150684931506,"[[134, 38], [17, 155]]"
